[12:45:12.439215] 诊断模式: 20240102~20240131 step=5 topk=5 min_n=200

诊断因子数: 33 | 诊断日数: 5 | 年份: [2024]

===== Year 2024 (n_days=5) =====

Top 10 (IC Mean 最大)
     factor  ic_mean    ic_ir   ic_pos  top5_alpha_mean  top5_alpha_ir 方向建议  当前约束  约束建议
  macd_hist  0.12386  0.66452  0.40000          0.01474        0.06807   趋势     0     1
     EP_ttm  0.11510  1.25384  0.60000          0.02675        5.56190   趋势     0     1
breakout_20  0.11337  0.62620  0.40000         -0.09562       -0.57325   冲突     0     0
     SP_ttm  0.08656  0.60600  0.40000          0.01535        0.97005   趋势     1     1
ma5_10_diff  0.07554  0.59530  0.40000         -0.05954       -0.41590   冲突     0     0
breakout_60  0.06512  0.45683  0.40000          0.00539        0.13143   趋势     0     1
  ret_lag_2  0.05641  0.65768  0.40000         -0.01937       -1.23882   冲突     0     0
   ma5_bias  0.05227  0.63325  0.40000         -0.05571       -0.24135   冲突     0     0
     roc_20  0.04819  0.28003  0.40000         -0.08760       -0.57770   冲突     1     0
         BP  0.04616  0.28045  0.40000          0.03671       51.50225   趋势     1     1

Bottom 10 (IC Mean 最小)
             factor  ic_mean    ic_ir   ic_pos  top5_alpha_mean  top5_alpha_ir 方向建议  当前约束  约束建议
             vol_20 -0.11477 -0.41683  0.20000          0.00222        0.07430   冲突     1     0
         boll_width -0.11184 -0.51541  0.20000          0.00419        0.02254   冲突     1     0
         pv_corr_20 -0.10644 -1.11200  0.00000         -0.04687       -1.11316   反转     0    -1
           rsi_rate -0.10421 -0.68834  0.20000         -0.01840       -0.40762   反转     0    -1
momo_sl_60_5_voladj -0.08171 -2.84365  0.00000          0.00073        0.01788   冲突     0     0
       momo_sl_60_5 -0.07618 -2.31867  0.00000         -0.06820       -0.61824   反转     0    -1
         boll_pct_b -0.07360 -0.29988  0.20000         -0.09384       -0.57622   反转     0    -1
            pv_corr -0.05132 -0.36420  0.20000          0.00856        0.15143   冲突     1     0
       momo_sl_20_5 -0.02552 -0.19213  0.20000         -0.02827       -0.49395   反转     1    -1
           hl_ratio -0.02098 -0.24355  0.20000         -0.01911       -0.10276   反转    -1    -1

===== All (20240102~20240131, n_days=5) =====

Top 10 (IC Mean 最大)
     factor  ic_mean    ic_ir   ic_pos  top5_alpha_mean  top5_alpha_ir 方向建议  当前约束  约束建议
  macd_hist  0.12386  0.66452  0.40000          0.01474        0.06807   趋势     0     1
     EP_ttm  0.11510  1.25384  0.60000          0.02675        5.56190   趋势     0     1
breakout_20  0.11337  0.62620  0.40000         -0.09562       -0.57325   冲突     0     0
     SP_ttm  0.08656  0.60600  0.40000          0.01535        0.97005   趋势     1     1
ma5_10_diff  0.07554  0.59530  0.40000         -0.05954       -0.41590   冲突     0     0
breakout_60  0.06512  0.45683  0.40000          0.00539        0.13143   趋势     0     1
  ret_lag_2  0.05641  0.65768  0.40000         -0.01937       -1.23882   冲突     0     0
   ma5_bias  0.05227  0.63325  0.40000         -0.05571       -0.24135   冲突     0     0
     roc_20  0.04819  0.28003  0.40000         -0.08760       -0.57770   冲突     1     0
         BP  0.04616  0.28045  0.40000          0.03671       51.50225   趋势     1     1

Bottom 10 (IC Mean 最小)
             factor  ic_mean    ic_ir   ic_pos  top5_alpha_mean  top5_alpha_ir 方向建议  当前约束  约束建议
             vol_20 -0.11477 -0.41683  0.20000          0.00222        0.07430   冲突     1     0
         boll_width -0.11184 -0.51541  0.20000          0.00419        0.02254   冲突     1     0
         pv_corr_20 -0.10644 -1.11200  0.00000         -0.04687       -1.11316   反转     0    -1
           rsi_rate -0.10421 -0.68834  0.20000         -0.01840       -0.40762   反转     0    -1
momo_sl_60_5_voladj -0.08171 -2.84365  0.00000          0.00073        0.01788   冲突     0     0
       momo_sl_60_5 -0.07618 -2.31867  0.00000         -0.06820       -0.61824   反转     0    -1
         boll_pct_b -0.07360 -0.29988  0.20000         -0.09384       -0.57622   反转     0    -1
            pv_corr -0.05132 -0.36420  0.20000          0.00856        0.15143   冲突     1     0
       momo_sl_20_5 -0.02552 -0.19213  0.20000         -0.02827       -0.49395   反转     1    -1
           hl_ratio -0.02098 -0.24355  0.20000         -0.01911       -0.10276   反转    -1    -1
